scenario,period,applications,approvals,eligible_approved,ineligible_approved,application_rate,access_rate,exclusion_error,admin_exclusion_error,demand_gap,inclusion_error,avg_trust,avg_info,avg_monitoring,avg_service_quality,avg_congestion,territorial_inequality,delegated_share
hierarchy,10,266,153,135,18,0.44333333333333336,0.5555555555555556,0.4444444444444444,0.0,0.4444444444444444,0.11764705882352941,0.6038300977599654,0.6037992669677379,0.7016737283983003,0.48248118885665187,0.8525641025641025,0.14194370663016992,0.0
hierarchy,11,282,161,143,18,0.47,0.588477366255144,0.411522633744856,0.0,0.411522633744856,0.11180124223602485,0.6155242535336931,0.6174968724749619,0.693927463755613,0.48009494251857515,0.9038461538461539,0.08268623198104988,0.0
hierarchy,12,284,157,139,18,0.47333333333333333,0.5720164609053497,0.42798353909465026,0.0,0.4279835390946502,0.11464968152866242,0.6266541985399307,0.629847527709428,0.69349202645801,0.4775976051813415,0.9102564102564102,0.08321409705019839,0.0
hierarchy,13,293,164,147,17,0.48833333333333334,0.6049382716049383,0.3950617283950617,0.0,0.3950617283950617,0.10365853658536585,0.6389552242231095,0.6429720022649665,0.6891343326981735,0.4748942173519526,0.939102564102564,0.12376678986144965,0.0
hierarchy,14,288,161,143,18,0.48,0.588477366255144,0.411522633744856,0.0,0.411522633744856,0.11180124223602485,0.6507558165803238,0.6543951337373796,0.6898713897844752,0.4738981265966382,0.923076923076923,0.05398851899258082,0.0
hierarchy,15,306,168,150,18,0.51,0.6172839506172839,0.3827160493827161,0.0,0.38271604938271603,0.10714285714285714,0.663532805809489,0.6657044298730032,0.6823227050110887,0.4717521938864741,0.9807692307692307,0.038224901730779845,0.0
hierarchy,16,314,167,149,18,0.5233333333333333,0.6131687242798354,0.3868312757201646,0.0,0.3868312757201646,0.10778443113772455,0.6763506846360172,0.6760374401382304,0.6792448007808366,0.47004347022793075,1.0064102564102564,0.06567117872978204,0.0
hierarchy,17,328,172,154,18,0.5466666666666666,0.6337448559670782,0.3662551440329218,0.0,0.3662551440329218,0.10465116279069768,0.6897571226205644,0.6864258483560182,0.6732149415730672,0.4673555256180386,1.0512820512820513,0.07151923476665807,0.0
hierarchy,18,317,174,156,18,0.5283333333333333,0.6419753086419753,0.3580246913580247,0.0,0.35802469135802467,0.10344827586206896,0.7032877899332235,0.6959561976890876,0.6754127857962247,0.46583899625827324,1.0160256410256412,0.0667970888102515,0.0
hierarchy,19,330,188,171,17,0.55,0.7037037037037037,0.2962962962962963,0.0,0.2962962962962963,0.09042553191489362,0.7188750413994494,0.7045183330238923,0.6688223210005796,0.46338567599148645,1.0576923076923077,0.08972255054882189,0.0
hierarchy,20,336,183,165,18,0.56,0.6790123456790124,0.32098765432098764,0.0,0.32098765432098764,0.09836065573770492,0.7330491337462512,0.7130003975000678,0.6664284514539716,0.4602153924932102,1.0769230769230769,0.05206275663902778,0.0
hierarchy,21,311,179,161,18,0.5183333333333333,0.6625514403292181,0.3374485596707819,0.0,0.3374485596707819,0.1005586592178771,0.7464390546588469,0.720130153395942,0.6742560320911896,0.4610706385277022,0.9967948717948718,0.08990971522246904,0.0
hierarchy,22,336,192,174,18,0.56,0.7160493827160493,0.28395061728395066,0.0,0.2839506172839506,0.09375,0.7611751377635593,0.7274731281110676,0.6638165507003477,0.45899410478419506,1.0769230769230769,0.0876722323077317,0.0
hierarchy,23,347,190,175,15,0.5783333333333334,0.720164609053498,0.279835390946502,0.005681818181818182,0.2757201646090535,0.07894736842105263,0.7753282504431213,0.7336059432337515,0.6594734197550991,0.45620749034890035,1.1121794871794872,0.07848672329669619,0.0
hierarchy,24,352,190,172,18,0.5866666666666667,0.7078189300411523,0.29218106995884774,0.0,0.29218106995884774,0.09473684210526316,0.788215482196243,0.7393712382889448,0.656751911622004,0.4538419164456244,1.1282051282051284,0.046660703632873245,0.0
hierarchy,25,354,188,170,18,0.59,0.6995884773662552,0.3004115226337448,0.0,0.3004115226337449,0.09574468085106383,0.7997764734956129,0.7450337909761477,0.6557103711441622,0.45223260461995385,1.1346153846153848,0.07344959773363591,0.0
hierarchy,26,360,192,176,16,0.6,0.7242798353909465,0.27572016460905346,0.0,0.2757201646090535,0.08333333333333333,0.811311063241039,0.7509481439520485,0.6524375323913687,0.4502680055673163,1.153846153846154,0.06252570185984647,0.0
hierarchy,27,353,194,176,18,0.5883333333333334,0.7242798353909465,0.27572016460905346,0.0,0.2757201646090535,0.09278350515463918,0.8222851237519156,0.7564100911449474,0.6533836521448382,0.4495641343996368,1.1314102564102564,0.023183961654570692,0.0
hierarchy,28,386,207,189,18,0.6433333333333333,0.7777777777777778,0.2222222222222222,0.0,0.2222222222222222,0.08695652173913043,0.8338472064618179,0.7622071129251062,0.641734964719594,0.44523724954640914,1.2371794871794872,0.06711112722645807,0.0
hierarchy,29,374,201,185,16,0.6233333333333333,0.7613168724279835,0.23868312757201648,0.0,0.23868312757201646,0.07960199004975124,0.8444363061524612,0.7676923091086364,0.6446367746568825,0.44345885372291965,1.1987179487179487,0.03737070711054444,0.0
hierarchy,30,373,188,172,16,0.6216666666666667,0.7078189300411523,0.29218106995884774,0.0,0.29218106995884774,0.0851063829787234,0.8530208507521034,0.772068574557214,0.6465534247274399,0.44231023892932914,1.1955128205128205,0.09224176203002063,0.0
hierarchy,31,372,196,178,18,0.62,0.7325102880658436,0.2674897119341564,0.0,0.2674897119341564,0.09183673469387756,0.8617857690951461,0.7767648935794802,0.6445509580640675,0.44133486614725764,1.1923076923076923,0.031004699693836117,0.0
hierarchy,32,401,206,191,15,0.6683333333333333,0.7860082304526749,0.21399176954732513,0.0,0.2139917695473251,0.07281553398058252,0.8712332648327776,0.7818604295271046,0.6340448134832354,0.43734812769726356,1.2852564102564104,0.03863205970217056,0.0
hierarchy,33,393,202,187,15,0.655,0.7695473251028807,0.2304526748971193,0.0,0.23045267489711935,0.07425742574257425,0.8792201689103789,0.7862939516641244,0.6370424623034762,0.4354648278658444,1.2596153846153846,0.08501069192358512,0.0
hierarchy,34,395,204,188,16,0.6583333333333333,0.7736625514403292,0.22633744855967075,0.0,0.22633744855967078,0.0784313725490196,0.886633473975329,0.7908110924160067,0.6352821867777587,0.433793991491807,1.2660256410256412,0.051709986809824256,0.0
hierarchy,35,379,202,184,18,0.6316666666666667,0.757201646090535,0.24279835390946503,0.0,0.24279835390946503,0.0891089108910891,0.8932926428431514,0.7949177152243982,0.6403541029905763,0.43430216237567115,1.2147435897435896,0.07017466133434555,0.0
hierarchy,36,405,198,180,18,0.675,0.7407407407407407,0.2592592592592593,0.0,0.25925925925925924,0.09090909090909091,0.8994188178850276,0.7990609975173747,0.6315115514155055,0.4315732772536787,1.2980769230769231,0.03658402674268154,0.0
hierarchy,37,386,192,175,17,0.6433333333333333,0.720164609053498,0.279835390946502,0.0,0.27983539094650206,0.08854166666666667,0.90452007437455,0.8027996162168471,0.6391138443828565,0.43176175418828483,1.237179487179487,0.12192623869832497,0.0
hierarchy,38,422,211,198,13,0.7033333333333334,0.8148148148148148,0.18518518518518523,0.0,0.18518518518518517,0.061611374407582936,0.9118289160484722,0.8073057792727578,0.6246099667956829,0.4276545913650213,1.3525641025641024,0.04896488806082339,0.0
hierarchy,39,399,196,178,18,0.665,0.7325102880658436,0.2674897119341564,0.0,0.2674897119341564,0.09183673469387756,0.9164580349479892,0.810869192350537,0.6327047003285116,0.42743807921876487,1.2788461538461537,0.05130347254067403,0.0
delegated,0,173,138,78,60,0.28833333333333333,0.32098765432098764,0.6790123456790124,0.0,0.6790123456790124,0.43478260869565216,0.5282113896526539,0.467094270636769,0.5542374119216322,0.5234036707757822,0.5544871794871794,0.05212101008663645,1.0
delegated,1,226,161,101,60,0.37666666666666665,0.4156378600823045,0.5843621399176955,0.0,0.5843621399176955,0.37267080745341613,0.5344015541113385,0.4802286270402619,0.5334880351785439,0.48107211045717535,0.7243589743589745,0.08211546812328338,1.0
delegated,2,224,160,101,59,0.37333333333333335,0.4156378600823045,0.5843621399176955,0.0,0.5843621399176955,0.36875,0.5408007894896104,0.49340699043093994,0.5338079936110869,0.449337119824208,0.717948717948718,0.08504162718765762,1.0
delegated,3,228,163,106,57,0.38,0.43621399176954734,0.5637860082304527,0.0,0.5637860082304527,0.3496932515337423,0.5476473356425454,0.5071696107986209,0.5312358770828368,0.42492842908023953,0.7307692307692307,0.042288179545795376,1.0
delegated,4,241,172,116,56,0.40166666666666667,0.4773662551440329,0.522633744855967,0.0,0.522633744855967,0.32558139534883723,0.5558704239584933,0.5222296189126046,0.5249882675855396,0.40537526711531324,0.7724358974358975,0.041257636265252744,1.0
