seed,scenario,applications_final,approvals_final,eligible_approved_final,ineligible_approved_final,access_rate_final,exclusion_error_final,inclusion_error_final,avg_trust_final,avg_info_final,avg_monitoring_final,avg_service_quality_final,avg_congestion_final,territorial_inequality_final,delegated_share_final,access_rate_mean,exclusion_error_mean,admin_exclusion_error_mean,demand_gap_mean,inclusion_error_mean,avg_trust_mean,avg_info_mean,avg_monitoring_mean,avg_service_quality_mean,avg_congestion_mean,territorial_inequality_mean,delegated_share_mean
5,hierarchy,433,233,222,11,0.8314606741573034,0.1685393258426966,0.0472103004291845,0.9344745940174792,0.8315665479864887,0.6200646636027718,0.4231115183082789,1.3878205128205128,0.0478101192047325,0.0,0.6301498127340823,0.3698501872659176,0.0003439872325741,0.3695692883895131,0.1012732939114404,0.737587326245322,0.688100583088561,0.6709484684489644,0.4692027177561549,1.053044871794872,0.0718073341573448,0.0
5,delegated,398,197,181,16,0.6779026217228464,0.3220973782771535,0.0812182741116751,0.9224305132228446,0.8311262460181479,0.4429730755946835,0.2904500696828195,1.2756410256410258,0.0428167555852361,1.0,0.6111423220973783,0.3888576779026217,0.031930679548087,0.3652621722846442,0.1671998227388795,0.7395596757193467,0.690740935749142,0.4797656167493806,0.3380606419376508,1.060176282051282,0.0548097556870618,1.0
5,adaptive,397,200,181,19,0.6779026217228464,0.3220973782771535,0.095,0.918949396265111,0.8287785489072096,0.4437284143177695,0.3041259079536786,1.2724358974358974,0.0242716868686301,1.0,0.6094569288389513,0.3905430711610487,0.0197649927811828,0.3753745318352059,0.1029042068543414,0.73025785850462,0.6857307036045768,0.6097145491152245,0.4382221793331625,1.0381410256410255,0.057875407221388,0.3583333333333333
6,hierarchy,399,196,178,18,0.7325102880658436,0.2674897119341564,0.0918367346938775,0.9164580349479892,0.810869192350537,0.6327047003285116,0.4274380792187648,1.2788461538461535,0.051303472540674,0.0,0.6296296296296295,0.3703703703703703,0.0001420454545454,0.3702674897119341,0.1094908987068908,0.7236043984451381,0.6792402107868092,0.6746485299492904,0.468485693663203,1.0198717948717948,0.0674599053939859,0.0
6,delegated,402,192,168,24,0.691358024691358,0.308641975308642,0.125,0.91043373406315,0.8137350985015871,0.4420371705888839,0.2774082045638464,1.2884615384615383,0.0527060234657795,1.0,0.6243827160493828,0.3756172839506173,0.0326368504818582,0.3516460905349794,0.1986529890401929,0.7301182603084863,0.6858524946747045,0.4803590362465367,0.3273931075426442,1.051602564102564,0.0551286113536855,1.0
6,adaptive,396,194,173,21,0.7119341563786008,0.2880658436213992,0.1082474226804123,0.9107476838637186,0.8117991481702296,0.4748722823465603,0.3191906383887983,1.2692307692307692,0.0435665291170606,0.8333333333333334,0.6175925925925926,0.3824074074074074,0.0177244261684815,0.3689300411522633,0.1162699821984873,0.7245556735784033,0.6814795432156238,0.6275304255089448,0.4440688318412672,1.015865384615385,0.0678520824493702,0.2708333333333333
7,hierarchy,369,201,185,16,0.7644628099173554,0.2355371900826446,0.0796019900497512,0.8846256851304626,0.7987325582187591,0.6444515827709311,0.4378299671872374,1.1826923076923077,0.0864377832267238,0.0,0.5851239669421487,0.4148760330578512,0.0,0.4148760330578512,0.1191578123986063,0.6861357372624253,0.6564729444622079,0.686027639222229,0.4742287824024569,0.9446314102564102,0.0783176482206706,0.0
7,delegated,395,194,172,22,0.7107438016528925,0.2892561983471075,0.1134020618556701,0.8921621107658333,0.8016830563938335,0.4462446460240696,0.2815237288897569,1.266025641025641,0.0740051546538056,1.0,0.6042355371900826,0.3957644628099174,0.0171789865666847,0.3831611570247933,0.2209516983310465,0.7024545319195974,0.6656644638672342,0.4881736057363737,0.3322997232610459,1.0007211538461538,0.0583771024212976,1.0
7,adaptive,383,190,165,25,0.6818181818181818,0.3181818181818182,0.131578947368421,0.8753862121948115,0.7968099543848162,0.515127104745467,0.3561538089308478,1.2275641025641026,0.0709675105781019,0.8333333333333334,0.5674586776859505,0.4325413223140495,0.0080432285189326,0.4266528925619835,0.1300263831780778,0.6795469422772598,0.6548529141342326,0.6558748581275362,0.4592225657934169,0.9375801282051284,0.0639077059694799,0.1875
8,hierarchy,419,222,207,15,0.7723880597014925,0.2276119402985075,0.0675675675675675,0.9381428636856404,0.840699093340569,0.6244666452466354,0.4239479905154474,1.3429487179487178,0.0350607620711237,0.0,0.6340485074626866,0.3659514925373134,0.0003562247928023,0.3656716417910448,0.0979432251398015,0.7464888616311117,0.7061358887263943,0.6691299634090467,0.4638529321623564,1.062900641025641,0.0619512141725408,0.0
